dataset,algorithm,n_clusters,metric,linkage,runtime_sec,runtime,ari,purity,davies_bouldin,f_measure,n_components,init_params,bic,avg_log_likelihood,run_id,inertia,kernel,param_m,param_alpha,preprocessing,n_features_orig,n_features_reduced
pen-based,GaussianMixture,,,,0.0294847920013126,0.029521582997404,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,7.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0294584579824004,0.0294794170185923,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,8.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0287802919920068,0.0288017500133719,0.1117376885345161,0.2063318777292576,1.7737390415304035,0.2942698198316746,2.0,kmeans,-146335.59110207454,6.7855527939176445,9.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0594888329796958,0.0595089169801212,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0604915419826284,0.0605213340022601,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0594749159936327,0.0595023749920073,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.05500475000008,0.0550333330174908,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0547724580101203,0.054795500007458,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,4.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.056156499980716,0.0561819169961381,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,5.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0548993749835062,0.0549245000001974,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,6.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.054722708009649,0.0547519589890725,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,7.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0545917920244392,0.0546114169992506,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,8.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0558972920116502,0.0559180410054978,0.1369286603443735,0.2059679767103348,1.8744380594872272,0.3125379058984601,2.0,random,-150555.84317461288,6.977522047581142,9.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0678320419974625,0.0678538329957518,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0675876669993158,0.067607874982059,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0682174579997081,0.0682374169991817,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0698533749964553,0.0698750419833231,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0690413330157753,0.0690614589839242,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,4.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0688307090022135,0.0688505839789286,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,5.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0698504579777363,0.069870749983238,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,6.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0684467089886311,0.0684675410157069,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,7.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.069522958016023,0.0695466669858433,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,8.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0693019169848412,0.0693316249817144,0.1075962870556762,0.2062409024745269,1.7643477379829002,0.293181062377247,2.0,k-means++,-147624.8330189031,6.84419734981414,9.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0215067919925786,0.0215271250053774,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0212096660106908,0.0212294580123852,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.021529499994358,0.0215483329957351,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0222871250007301,0.0223079999850597,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.022887625003932,0.0229105829785112,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,4.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0226207919768057,0.0226452499919105,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,5.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0222200840071309,0.0222459169744979,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,6.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0218667089939117,0.0218866250070277,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,7.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0223937499977182,0.0224207499995827,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,8.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0217149170057382,0.0217333750042598,0.1436714584565345,0.2074235807860262,2.009447440546791,0.3032219276000171,2.0,random_from_data,-149756.46717161036,6.941160329831756,9.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0453834579966496,0.0454031249973923,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0436960829829331,0.0437258339952677,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0443887079891283,0.0444104579801205,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0436887080140877,0.0437106669996865,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0425587920180987,0.0425798750075046,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,4.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0428589999792166,0.0428879999963101,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,5.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0419600830064155,0.041981125017628,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,6.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0433395830041263,0.0433691249927505,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,7.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0444782499980647,0.0444990420073736,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,8.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0445187499863095,0.0445488749828655,0.1920242794784152,0.3069505094614265,1.4302738256245406,0.3888271343972258,3.0,kmeans,-186591.19313867597,8.681443225950675,9.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0495074159989599,0.0495307920209597,0.24391822355769,0.298853711790393,4.514621205252573,0.399533172759447,3.0,random,-182020.46162648287,8.473531494136942,0.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0488166669965721,0.0488463749934453,0.24391822355769,0.298853711790393,4.514621205252573,0.399533172759447,3.0,random,-182020.46162648287,8.473531494136942,1.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0498197080160025,0.0498396250186488,0.24391822355769,0.298853711790393,4.514621205252573,0.399533172759447,3.0,random,-182020.46162648287,8.473531494136942,2.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0451479579787701,0.0451801659946795,0.24391822355769,0.298853711790393,4.514621205252573,0.399533172759447,3.0,random,-182020.46162648287,8.473531494136942,3.0,,,,,Original,,
pen-based,GaussianMixture,,,,0.0452169589989353,0.0452382910007145,0.24391822355769,0.298853711790393,4.514621205252573,0.399533172759447,3.0,random,-182020.46162648287,8.473531494136942,4.0,,,,,Original,,
